SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,CRN,EXAM_DATE,EXAM_TIME,BLDG_CODE,ROOM_CODE
MUSI,317,001,10129,12/7/2022,1400,TBA,TBA
MUSI,317,002,10250,12/7/2022,0900,TBA,TBA
MUSI,421,001,10139,12/7/2022,1400,TBA,TBA
MUSI,403,001,10138,12/7/2022,0900,TBA,TBA
RELI,312,001,14286,12/7/2022,1900,TBA,TBA
MUSI,321,001,10130,12/7/2022,1400,TBA,TBA
STAT,280,S01,10114,12/7/2022,0900,HRZ,212
STAT,280,S02,10259,12/7/2022,0900,HRZ,212
ENGL,300,002,13982,12/7/2022,0900,TBA,TBA
CHBE,470,002,13499,12/7/2022,1400,DCH,1064
POLI,372,001,13023,12/7/2022,1900,BRK,101
MATH,355,001,10060,12/7/2022,1900,ABL,131
MATH,381,001,10061,12/7/2022,0900,TBA,TBA
MATH,466,001,14598,12/7/2022,1400,TBA,TBA
CEVE,500,001,14332,12/7/2022,1900,SEW,309
POLI,466,001,14067,12/7/2022,0900,TBA,TBA
BIOE,385,004,13924,12/7/2022,0900,TBA,TBA
HIST,246,001,14007,12/7/2022,1900,TBA,TBA
POLI,420,001,14065,12/7/2022,1900,KCK,105
SOCI,304,001,14095,12/7/2022,1900,TBA,TBA
MATH,368,001,14343,12/7/2022,1900,KRF,110
CEVE,481,001,15035,12/7/2022,1900,TBA,TBA
ANTH,201,001,13893,12/7/2022,1900,TBA,TBA
THEA,303,001,14260,12/7/2022,0900,TBA,TBA
CEVE,310,001,10311,12/7/2022,1400,TBA,TBA
MATH,566,001,14602,12/7/2022,1400,TBA,TBA
BIOE,422,001,12153,12/7/2022,1900,BRC,284
CEVE,510,001,10312,12/7/2022,1400,TBA,TBA
BIOE,443,002,12706,12/7/2022,0900,TBA,TBA
RELI,428,001,14086,12/7/2022,0900,TBA,TBA
ARTS,280,001,10513,12/7/2022,0900,TBA,TBA
FILM,280,001,10512,12/7/2022,0900,TBA,TBA
HART,280,001,10514,12/7/2022,0900,TBA,TBA
RELI,559,001,14087,12/7/2022,0900,TBA,TBA
COMP,215,004,11950,12/7/2022,1900,TBA,TBA
COMP,215,002,13527,12/7/2022,1400,TBA,TBA
COMP,215,003,14283,12/7/2022,0900,TBA,TBA
ARCH,101,001,10368,12/7/2022,0900,TBA,TBA
ARCH,101,003,14900,12/7/2022,0900,TBA,TBA
ARCH,101,002,14901,12/7/2022,0900,TBA,TBA
ENGL,290,001,13980,12/7/2022,1400,TBA,TBA
COMP,310,001,14624,12/7/2022,0900,BRK,101
COMP,310,002,14625,12/7/2022,0900,BRK,101
HIST,101,001,12915,12/7/2022,1400,TBA,TBA
BIOE,447,002,12708,12/7/2022,0900,TBA,TBA
THEA,308,001,14119,12/7/2022,1900,TBA,TBA
FILM,308,001,14221,12/7/2022,1900,TBA,TBA
RELI,344,001,14083,12/7/2022,0900,TBA,TBA
BIOE,464,001,14515,12/7/2022,1400,BRC,282
UNIV,110,001,10401,12/7/2022,1900,TBA,TBA
ARCH,201,001,10041,12/7/2022,0900,TBA,TBA
ARCH,201,002,11513,12/7/2022,0900,TBA,TBA
ARCH,201,003,13922,12/7/2022,0900,TBA,TBA
ARCH,301,001,10042,12/7/2022,0900,TBA,TBA
ARCH,301,002,11514,12/7/2022,0900,TBA,TBA
ARCH,401,001,10044,12/7/2022,0900,TBA,TBA
ARCH,401,002,11515,12/7/2022,0900,TBA,TBA
CHIN,401,001,12162,12/7/2022,1900,TBA,TBA
HEAL,119,001,13297,12/7/2022,1900,TBA,TBA
ENGL,342,001,14225,12/7/2022,1900,TBA,TBA
SWGS,372,001,14328,12/7/2022,1900,TBA,TBA
MECH,412,001,14796,12/7/2022,1900,DCH,1070
MECH,500,001,14037,12/7/2022,1900,SEW,309
MECH,502,001,14797,12/7/2022,1900,DCH,1070
SPAN,322,002,12560,12/7/2022,1400,TBA,TBA
SPAN,321,001,10559,12/7/2022,1400,TBA,TBA
SPAN,321,003,11293,12/7/2022,1400,TBA,TBA
MDEM,211,001,10579,12/7/2022,1900,TBA,TBA
MATH,356,001,12181,12/7/2022,1400,TBA,TBA
CEVE,529,001,11920,12/7/2022,1900,TBA,TBA
ENGI,529,001,11921,12/7/2022,1900,TBA,TBA
CEVE,320,001,11663,12/7/2022,1900,TBA,TBA
HIST,275,001,14010,12/7/2022,1400,TBA,TBA
KORE,141,003,13951,12/7/2022,1900,TBA,TBA
RUSS,141,002,12227,12/7/2022,1900,TBA,TBA
SPAN,141,001,10677,12/7/2022,1400,TBA,TBA
SPAN,264,002,11874,12/7/2022,1400,TBA,TBA
SPAN,264,005,12873,12/7/2022,1900,TBA,TBA
SOCI,358,001,14732,12/7/2022,1900,TBA,TBA
FREN,263,002,12576,12/7/2022,1400,TBA,TBA
GERM,263,001,11443,12/7/2022,1400,TBA,TBA
GERM,263,002,14263,12/7/2022,1900,TBA,TBA
RUSS,301,001,14615,12/7/2022,1400,TBA,TBA
SPAN,263,002,10556,12/7/2022,1400,TBA,TBA
ARAB,263,001,11589,12/7/2022,1400,TBA,TBA
CHIN,263,001,10553,12/7/2022,1400,TBA,TBA
COMP,330,001,10712,12/7/2022,1900,TBA,TBA
ITAL,263,001,12797,12/7/2022,1900,FULLY,ONLINE
JAPA,301,001,13949,12/7/2022,1400,TBA,TBA
KORE,263,001,13952,12/7/2022,1400,TBA,TBA
PORT,301,001,11873,12/7/2022,1400,TBA,TBA
FREN,141,003,10699,12/7/2022,1900,TBA,TBA
FREN,141,001,11776,12/7/2022,1400,TBA,TBA
GERM,141,002,10939,12/7/2022,1400,TBA,TBA
ITAL,141,002,15011,12/7/2022,0900,FULLY,ONLINE
JAPA,141,002,10700,12/7/2022,1400,TBA,TBA
JAPA,141,004,13948,12/7/2022,1900,TBA,TBA
SPAN,142,002,10680,12/7/2022,1400,TBA,TBA
CHIN,311,002,12161,12/7/2022,1900,TBA,TBA
RELI,378,001,14412,12/7/2022,0900,TBA,TBA
BUSI,310,002,10310,12/7/2022,1900,TBA,TBA
BUSI,310,001,10650,12/7/2022,0900,TBA,TBA
BUSI,305,001,11375,12/7/2022,1900,TBA,TBA
HIST,359,001,14232,12/7/2022,0900,TBA,TBA
CHEM,214,004,14658,12/7/2022,1400,TBA,TBA
CHEM,214,005,14659,12/7/2022,0900,TBA,TBA
CHEM,214,006,14660,12/7/2022,1900,TBA,TBA
ARTS,301,002,11660,12/7/2022,0900,TBA,TBA
MATH,513,001,12746,12/7/2022,0900,HBH,227
BUSI,221,001,14296,12/7/2022,1900,TBA,TBA
CHEM,215,001,12691,12/7/2022,0900,TBA,TBA
CHEM,215,003,12693,12/7/2022,0900,TBA,TBA
FOTO,205,002,14628,12/7/2022,1400,TBA,TBA
HART,216,001,14042,12/7/2022,1900,TBA,TBA
ENGL,210,001,14167,12/7/2022,1900,TBA,TBA
POLI,210,001,10013,12/7/2022,1400,HRZ,AMP
POLI,210,002,14159,12/7/2022,1400,HRZ,AMP
POLI,210,003,14160,12/7/2022,1400,HRZ,AMP
POLI,210,004,14161,12/7/2022,1400,HRZ,AMP
ARTS,401,001,13280,12/7/2022,0900,TBA,TBA
SOCI,366,001,13127,12/7/2022,1900,TBA,TBA
ELEC,560,001,11679,12/7/2022,1900,TBA,TBA
ELEC,460,001,11676,12/7/2022,1900,TBA,TBA
ENGL,383,001,13988,12/7/2022,0900,TBA,TBA
ARCH,327,002,14888,12/7/2022,1400,TBA,TBA
