PERSON_IDENTIFIER,TERM_CODE,TERM,CRN,SUBJECT,COURSE_NUMBER,SECTION,COURSE_TPYE,TITLE
93423,202410,Fall Semester 2023,14260,THEA,303,001,LEC,INTRODUCTION TO THEATRE
94572,202410,Fall Semester 2023,12982,MUSI,335,001,STU,RICE CHORALE
361383,202410,Fall Semester 2023,10675,PORT,106,001,LEC,ACCEL FIRST YEAR PORTUGUESE
559884,202410,Fall Semester 2023,10674,JAPA,141,001,LEC,FIRST YEAR JAPANESE I
565527,202410,Fall Semester 2023,15558,RELI,421,001,SEM,FOUCAULT & THE SELF
565527,202410,Fall Semester 2023,16098,FWIS,184,001,SEM,CULTURAL IMAGINATION OF TEXAS
566199,202410,Fall Semester 2023,14731,SOCI,325,001,LEC,SOCIOLOGY OF LAW
566199,202410,Fall Semester 2023,13184,LPAP,171,003,ACT,TAI CHI
566199,202410,Fall Semester 2023,13191,LPAP,183,001,ACT,WEIGHT TRAINING & CONDITIONING
566199,202410,Fall Semester 2023,15511,ENST,312,001,LEC,JUSTICE IN THE FOOD SYSTEM
566199,202410,Fall Semester 2023,15442,HIST,340,001,LEC,HISTORY OF FEMINISM
566199,202410,Fall Semester 2023,15795,PHIL,400,001,RES,THE OBJECTIVE & THE SUBJECTIVE
607599,202410,Fall Semester 2023,15627,HIST,438,001,SEM,"THE MEDIEVAL CITY, 300-1500"
607599,202410,Fall Semester 2023,15252,HART,358,001,LEC,IMPRESSIONISM/POST-IMP
637395,202410,Fall Semester 2023,12948,ANTH,200,003,LEC,INTRO TO STUDY OF LANGUAGE
883479,202410,Fall Semester 2023,13948,JAPA,141,004,LEC,FIRST YEAR JAPANESE I
971649,202410,Fall Semester 2023,11606,PSYC,202,001,LEC,INTRO TO SOCIAL PSYCHOLOGY
971649,202410,Fall Semester 2023,11757,KINE,321,003,LEC,EXERCISE PHYSIOLOGY
971649,202410,Fall Semester 2023,10257,KINE,302,001,LEC,BIOMECHANICS
971649,202410,Fall Semester 2023,15491,KINE,498,001,LEC,SPECIAL TOPICS IN SPORTS MED
975462,202410,Fall Semester 2023,15256,ASIA,223,001,LEC,SOUTH ASIAN STUDIES
1074561,202410,Fall Semester 2023,13552,COMP,140,901,LL,COMPUTATIONAL THINKING
1074561,202410,Fall Semester 2023,12758,FWIS,100,005,SEM,INTRO TO ACADEMIC WRITING
1074561,202410,Fall Semester 2023,14167,ENGL,210,001,LEC,BEGINNINGS: BRIT LIT TO 1800
1074561,202410,Fall Semester 2023,15623,HART,203,001,LEC,GLOBAL MODERNISM
1074561,202410,Fall Semester 2023,14154,MATH,101,S02,LEC,SINGLE VARIABLE CALCULUS I
1107495,202410,Fall Semester 2023,15491,KINE,498,001,LEC,SPECIAL TOPICS IN SPORTS MED
1107495,202410,Fall Semester 2023,11757,KINE,321,003,LEC,EXERCISE PHYSIOLOGY
1107495,202410,Fall Semester 2023,12541,SMGT,450,001,LEC,LEADERSHIP IN SPORT MANAGEMENT
1107495,202410,Fall Semester 2023,14282,NAVA,302,001,LL,NAVAL OPERATIONS & SEAMANSHIP
1107495,202410,Fall Semester 2023,10360,KINE,375,002,INT,SPORTS MEDICINE INTERNSHIP
1107495,202410,Fall Semester 2023,10257,KINE,302,001,LEC,BIOMECHANICS
1167519,202410,Fall Semester 2023,12181,MATH,356,001,LEC,ABSTRACT ALGEBRA I
1167519,202410,Fall Semester 2023,10059,MATH,321,001,LEC,INTRODUCTION TO ANALYSIS I
1235406,202410,Fall Semester 2023,11919,STAT,413,001,LEC,INTRO TO STAT MACHINE LEARNING
1235406,202410,Fall Semester 2023,10297,STAT,482,001,LEC,QUANT FINANCIAL ANALYTICS
1235406,202410,Fall Semester 2023,13709,STAT,487,001,LEC,COFES BLOCKCHAIN/CRYPTO
1292541,202410,Fall Semester 2023,12576,FREN,263,002,LEC,SECOND YEAR FRENCH I
1305336,202410,Fall Semester 2023,15133,MUSI,426,001,LEC,PIANO LITERATURE - SURVEY
1305336,202410,Fall Semester 2023,15834,MUSI,414,001,LEC,PIANO CHAMBER MUSIC LITERATURE
1365753,202410,Fall Semester 2023,15391,KORE,401,001,LEC,CURRENT ISSUES IN KOREA
1368495,202410,Fall Semester 2023,11504,COMP,490,003,RES,COMPUTER SCIENCE PROJECTS
1368495,202410,Fall Semester 2023,11155,COMP,382,002,LL,REASONING ABOUT ALGORITHMS
1368495,202410,Fall Semester 2023,14254,COMP,480,001,LEC,PROBABILISTIC ALGORITHMS AND D
1368495,202410,Fall Semester 2023,14624,COMP,310,001,LEC,ADV OBJECT-ORIENTED PROG
1370427,202410,Fall Semester 2023,15536,BUSI,440,001,LEC,AUDITING
1370427,202410,Fall Semester 2023,10992,ECON,300,001,LEC,"GAME THEORY, MICRO TOPICS/ECON"
1370427,202410,Fall Semester 2023,12251,ECON,483,001,LEC,PUBLIC ECONOMICS: TAXATION
1370427,202410,Fall Semester 2023,12883,ECON,441,001,LEC,EMPIRICAL METHODS FOR IO
1370427,202410,Fall Semester 2023,14300,BUSI,380,001,LEC,MARKETING
1378170,202410,Fall Semester 2023,16308,ARCH,450,003,SEM,GARDEN ECOLOGIES
1389207,202410,Fall Semester 2023,10646,GERM,301,001,LEC,THIRD YEAR GERMAN I
1389840,202410,Fall Semester 2023,15179,CMOR,420,001,LEC,COMPUTATIONAL SCIENCE
1389840,202410,Fall Semester 2023,10077,PHYS,301,001,LEC,INTERMEDIATE MECHANICS
1389840,202410,Fall Semester 2023,10078,PHYS,311,001,LEC,INTRO TO QUANTUM PHYSICS I
1389840,202410,Fall Semester 2023,15304,HIST,237,001,LEC,RADICALS IN THE AMERICAS
1396599,202410,Fall Semester 2023,16306,ARCH,450,001,SEM,FORMAL ANALYSIS
1396599,202410,Fall Semester 2023,16300,ARCH,327,001,LAB,CONSTRUCT
1423698,202410,Fall Semester 2023,15422,SMGT,360,001,LEC,SALES & REVENUE GENERATION
1423698,202410,Fall Semester 2023,12306,ASTR,101,001,LEC,"STARS, GALAXIES & THE UNIVERSE"
1423698,202410,Fall Semester 2023,12541,SMGT,450,001,LEC,LEADERSHIP IN SPORT MANAGEMENT
1423698,202410,Fall Semester 2023,11675,SOSC,302,001,LEC,SOCIAL SCIENCES STATISTICS
1423698,202410,Fall Semester 2023,15423,SMGT,364,001,LEC,SPORT LAW
1423698,202410,Fall Semester 2023,12568,SOCI,102,001,LAB,SOCIOLOGY STATISTICS LAB
1462875,202410,Fall Semester 2023,15522,ENGL,382,001,LEC,FEMINIST THEORY
1470960,202410,Fall Semester 2023,14725,MUSI,334,002,STU,CAMPANILE ORCHESTRA
1474185,202410,Fall Semester 2023,11442,PSYC,340,002,LEC,RESEARCH METHODS - PSYCHOLOGY
1474185,202410,Fall Semester 2023,15563,PSYC,308,001,LEC,MEMORY
1474185,202410,Fall Semester 2023,12809,HUMA,315,001,LEC,COMMUNICATION LAW
1474185,202410,Fall Semester 2023,15762,LING,327,001,LEC,RESEARCH ON BRAILLE
1474425,202410,Fall Semester 2023,12808,ARCH,311,001,LEC,HOUSTON ARCHITECTURE
1474425,202410,Fall Semester 2023,16300,ARCH,327,001,LAB,CONSTRUCT
1482525,202410,Fall Semester 2023,16300,ARCH,327,001,LAB,CONSTRUCT
1512606,202410,Fall Semester 2023,15154,RELI,334,001,SEM,PSYCHOLOGY OF RELIGION
1514424,202410,Fall Semester 2023,10729,ECON,210,001,LEC,BEHAVIORAL ECONOMICS
1514424,202410,Fall Semester 2023,12541,SMGT,450,001,LEC,LEADERSHIP IN SPORT MANAGEMENT
1514424,202410,Fall Semester 2023,13515,ECON,481,002,LEC,HEALTH ECONOMICS
1514424,202410,Fall Semester 2023,10121,MUSI,117,001,LEC,FUNDAMENTALS OF MUSIC I
1514424,202410,Fall Semester 2023,14303,BUSI,401,001,LEC,FINANCIAL STATEMENT ANALYSIS
1520835,202410,Fall Semester 2023,16307,ARCH,450,002,SEM,PRESERVATION TACTICS
1522512,202410,Fall Semester 2023,15379,ARTS,312,001,STU,RELIEF I
1522512,202410,Fall Semester 2023,16300,ARCH,327,001,LAB,CONSTRUCT
1522686,202410,Fall Semester 2023,11340,COMP,430,001,LL,INTRO TO DATABASE SYSTEMS
1522686,202410,Fall Semester 2023,15825,COMP,431,001,LL,WEB DEVELOPMENT
1522686,202410,Fall Semester 2023,10052,COMP,412,001,LEC,COMPILER CONSTRUCTION - UG
1522686,202410,Fall Semester 2023,15308,HIST,314,001,LEC,HISTORY OF AI
1522737,202410,Fall Semester 2023,14701,SWGS,101,001,LEC,INTRO WOMEN & GENDER
1522737,202410,Fall Semester 2023,15623,HART,203,001,LEC,GLOBAL MODERNISM
1522737,202410,Fall Semester 2023,15496,SWGS,338,001,LEC,19TH C. WOMEN'S NARRATIVES
1522737,202410,Fall Semester 2023,15431,LALX,238,001,SEM,LATINX GEN & SEXUALITY STUDIES
1522737,202410,Fall Semester 2023,11607,PSYC,351,001,LEC,PERCEPTION
1523073,202410,Fall Semester 2023,16323,CMOR,495,002,LEC,LOSING THE PRECIOUS FEW
1523136,202410,Fall Semester 2023,16303,ARCH,350,001,SEM,URBAN TRANSPORTATION
1523136,202410,Fall Semester 2023,16308,ARCH,450,003,SEM,GARDEN ECOLOGIES
1524090,202410,Fall Semester 2023,15762,LING,327,001,LEC,RESEARCH ON BRAILLE
1524090,202410,Fall Semester 2023,11624,LING,300,001,LEC,LINGUISTIC ANALYSIS
1524090,202410,Fall Semester 2023,15580,PSYC,467,001,LEC,HUMAN FACTORS IN CYBERSECURITY
1524090,202410,Fall Semester 2023,15611,COLL,114,001,SEM,A LINGUISTIC TAKE ON CONLANGS
1524090,202410,Fall Semester 2023,15214,PSYC,375,001,LEC,NEUROPSYC OF LANGUAGE/MEMORY
1524096,202410,Fall Semester 2023,16300,ARCH,327,001,LAB,CONSTRUCT
1524828,202410,Fall Semester 2023,16307,ARCH,450,002,SEM,PRESERVATION TACTICS
1525338,202410,Fall Semester 2023,13193,LPAP,186,004,ACT,PILATES
1525338,202410,Fall Semester 2023,14283,COMP,215,003,LL,INTRODUCTION TO PROGRAM DESIGN
1525338,202410,Fall Semester 2023,11156,COMP,382,003,LL,REASONING ABOUT ALGORITHMS
1525338,202410,Fall Semester 2023,13191,LPAP,183,001,ACT,WEIGHT TRAINING & CONDITIONING
1525338,202410,Fall Semester 2023,14296,BUSI,221,001,LL,NEW ENTERPRISES: DISCOVERY
1525632,202410,Fall Semester 2023,15215,PSYC,409,001,SEM,METHODS HUMAN-COMP INTERACTION
1525632,202410,Fall Semester 2023,15602,COLL,178,001,SEM,A CUP OF CULTURE
1525632,202410,Fall Semester 2023,10094,PSYC,340,001,LEC,RESEARCH METHODS - PSYCHOLOGY
1525632,202410,Fall Semester 2023,16343,PSYC,308,002,LEC,MEMORY
1526673,202410,Fall Semester 2023,14303,BUSI,401,001,LEC,FINANCIAL STATEMENT ANALYSIS
1526691,202410,Fall Semester 2023,16308,ARCH,450,003,SEM,GARDEN ECOLOGIES
1527726,202410,Fall Semester 2023,14917,PSYC,485,023,RES,UG SUPERVISED RESEARCH
1527726,202410,Fall Semester 2023,15154,RELI,334,001,SEM,PSYCHOLOGY OF RELIGION
1527726,202410,Fall Semester 2023,15289,ENGL,341,001,LEC,VICTORIAN LITERATURE & CULTURE
1527726,202410,Fall Semester 2023,15296,ENGL,410,003,SEM,SENIOR SEMINAR
1527843,202410,Fall Semester 2023,10122,MUSI,141,001,STU,CLASSICAL GUITAR/NON-MAJOR
1528590,202410,Fall Semester 2023,12808,ARCH,311,001,LEC,HOUSTON ARCHITECTURE
