CRN,TERM_CODE,SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,SUBJ_DESC,SCHOOL_DESC,DEPT_DESC,ENRL,MAX_ENRL,MEETING,CRSE_TITLE,XLST_ENRL,XLST_MAX_ENRL,XLST_GROUP,INSTR_NAME,EXAM_TYPE
10304,202310,AFSC,101,002,Air Force Science,Dean of Undergraduates,Air Force Science,1,19,"12:00PM - 12:50PM W OFF CAMPUS, 02:30PM - 04:30PM W OFF CAMPUS",FOUNDATION OF THE USAF I,,,,,No Final Exam
10414,202310,ANTH,324,001,Anthropology,School of Social Sciences,Anthropology,1,8,02:30PM - 05:29PM R SEW 301,DOCUMENTARY PRODUCTION,12,8,J1,"Huberman, Brian M.",No Final Exam
10715,202310,ANTH,205,001,Anthropology,School of Social Sciences,Anthropology,34,50,09:25AM - 10:40AM TR HRG 129,INTRO TO ARCHAEOLOGY,,,,"Fleisher, Jeffrey B.",Scheduled Final Exam-OTR Room
11688,202310,ANTH,493,001,Anthropology,School of Social Sciences,Anthropology,8,12,12:00PM - 01:15PM T TBA TBA,SENIOR RESEARCH PREPARATION,,,,"Prendergast, Mary E.",No Final Exam
12145,202310,ANTH,490,008,Anthropology,School of Social Sciences,Anthropology,1,0, -   TBA TBA,DIRECTED HONORS RESEARCH,,,,"Boyer, Dominic C.",No Final Exam
12254,202310,ANTH,203,001,Anthropology,School of Social Sciences,Anthropology,52,80,01:00PM - 02:15PM TR HRZ 212,INTRO BIOLOGICAL ANTHROPOLOGY,,,,"Dominguez Rodrigo, Manuel",Scheduled Final Exam-OTR Room
12948,202310,ANTH,200,003,Anthropology,School of Social Sciences,Anthropology,21,180,09:25AM - 10:40AM TR HRG 100,INTRO TO STUDY OF LANGUAGE,122,180,B1,"Crouch, Caroline Q.",Scheduled Online Final Exam
12639,202310,ANTH,404,011,Anthropology,School of Social Sciences,Anthropology,2,0, -   TBA TBA,INDEPENDENT STUDY,,,,"Morgan, Molly",No Final Exam
14342,202310,ANTH,419,001,Anthropology,School of Social Sciences,Anthropology,2,12,01:00PM - 03:29PM W MCA 103,BLACK FEMINIST SCIENCE STUDIES,9,12,4A,"Massie, Victoria M.",No Final Exam
14320,202310,ANTH,477,001,Anthropology,School of Social Sciences,Anthropology,15,25,02:30PM - 05:00PM R SEW 101,REPRESENTATIONS OF DISABILITY,16,25,2M,"Fietz, Helena",No Final Exam
13893,202310,ANTH,201,001,Anthropology,School of Social Sciences,Anthropology,37,40,02:00PM - 03:15PM MW SEW 305,INTRO TO SOCIAL/CULTURAL ANTH,,,,"Estrella, Amarilys",No Final Exam
