PERSON_IDENTIFIER,TERM_DESC,CRN,SUBJ_CODE,CRSE_NUMB,SECTION,SCHEDULE_TYPE,TITLE
1,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1,Fall Semester 2022,10074,PHYS,111,S01,LL,HONORS MECHANICS (WITH LAB)
1,Fall Semester 2022,11432,BUSI,223,001,LL,MODELING FOR ENTREPRENEURS
1,Fall Semester 2022,12907,FWIS,100,013,SEM,INTRO TO ACADEMIC WRITING
1,Fall Semester 2022,14742,FOTO,205,003,SEM,INTRODUCTION TO PHOTOGRAPHY
2,Fall Semester 2022,10057,MATH,212,S01,LEC,MULTIVARIABLE CALCULUS
2,Fall Semester 2022,10074,PHYS,111,S01,LL,HONORS MECHANICS (WITH LAB)
2,Fall Semester 2022,14310,COLL,192,001,SEM,THE UNIVERSE AND US
2,Fall Semester 2022,14387,PHIL,265,001,LEC,DEATH AND DYING
2,Fall Semester 2022,14016,HIST,381,001,LEC,"GOD, TIME AND HISTORY"
3,Fall Semester 2022,10057,MATH,212,S01,LEC,MULTIVARIABLE CALCULUS
3,Fall Semester 2022,14244,FILM,385,001,LEC,FILMS OF ALFRED HITCHCOCK
3,Fall Semester 2022,14226,EEPS,109,001,LEC,OCEANOGRAPHY
3,Fall Semester 2022,13804,PSYC,101,003,LEC,INTRODUCTION TO PSYCHOLOGY
3,Fall Semester 2022,14274,CAAM,210,006,LL,INTRO TO ENG COMPUTATION
4,Fall Semester 2022,10057,MATH,212,S01,LEC,MULTIVARIABLE CALCULUS
4,Fall Semester 2022,10660,PHYS,103,009,SEM,MECHANICS DISCUSSION
4,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
4,Fall Semester 2022,12947,LING,200,003,LEC,INTRO TO STUDY OF LANGUAGE
4,Fall Semester 2022,14374,ASIA,224,001,LEC,A HISTORY OF THE SILK ROADS
5,Fall Semester 2022,10059,MATH,321,001,LEC,INTRODUCTION TO ANALYSIS I
5,Fall Semester 2022,11155,COMP,382,002,LL,REASONING ABOUT ALGORITHMS
5,Fall Semester 2022,11950,COMP,215,004,LL,INTRODUCTION TO PROGRAM DESIGN
5,Fall Semester 2022,12181,MATH,356,001,LEC,ABSTRACT ALGEBRA I
5,Fall Semester 2022,12878,ECON,100,002,LEC,PRINCIPLES OF ECONOMICS
6,Fall Semester 2022,10059,MATH,321,001,LEC,INTRODUCTION TO ANALYSIS I
6,Fall Semester 2022,11155,COMP,382,002,LL,REASONING ABOUT ALGORITHMS
6,Fall Semester 2022,12256,MATH,280,001,INT,UG MATH TEACHING PRACTICUM
6,Fall Semester 2022,13528,COMP,215,001,LL,INTRODUCTION TO PROGRAM DESIGN
6,Fall Semester 2022,13717,ELEC,220,005,LL,FUND COMPUTER ENGINEERING
6,Fall Semester 2022,14926,ELEC,491,012,RES,AUTONOMOUS DRONES
7,Fall Semester 2022,10059,MATH,321,001,LEC,INTRODUCTION TO ANALYSIS I
7,Fall Semester 2022,10133,MUSI,340,001,STU,RICE SYMPHONIC BAND
7,Fall Semester 2022,10030,CAAM,336,001,LEC,DIFF EQUATIONS SCI & ENG
7,Fall Semester 2022,10250,MUSI,317,002,LEC,THEORY FOR NON MAJORS I
7,Fall Semester 2022,10076,PHYS,201,001,LEC,"WAVES, LIGHT, AND HEAT"
7,Fall Semester 2022,11700,CAAM,378,001,LEC,INTRO TO O.R. AND OPTIMIZATION
7,Fall Semester 2022,13552,COMP,140,901,LL,COMPUTATIONAL THINKING
8,Fall Semester 2022,10059,MATH,321,001,LEC,INTRODUCTION TO ANALYSIS I
8,Fall Semester 2022,10076,PHYS,201,001,LEC,"WAVES, LIGHT, AND HEAT"
8,Fall Semester 2022,11630,MATH,211,S02,LEC,ORD DIFFERENTIAL EQUATIONS
8,Fall Semester 2022,14277,CAAM,210,009,LL,INTRO TO ENG COMPUTATION
8,Fall Semester 2022,14632,JAPA,263,003,LEC,SECOND YEAR JAPANESE I
9,Fall Semester 2022,10059,MATH,321,001,LEC,INTRODUCTION TO ANALYSIS I
9,Fall Semester 2022,12181,MATH,356,001,LEC,ABSTRACT ALGEBRA I
9,Fall Semester 2022,14343,MATH,368,001,LEC,TOPICS IN COMBINATORICS
9,Fall Semester 2022,14933,COMP,182,002,LL,ALGORITHMIC THINKING
10,Fall Semester 2022,10059,MATH,321,001,LEC,INTRODUCTION TO ANALYSIS I
10,Fall Semester 2022,10029,CAAM,335,001,LEC,MATRIX ANALYSIS
10,Fall Semester 2022,10061,MATH,381,001,LEC,INTRO PARTIAL DIFF EQUATIONS
10,Fall Semester 2022,10076,PHYS,201,001,LEC,"WAVES, LIGHT, AND HEAT"
10,Fall Semester 2022,10116,STAT,310,001,LEC,PROBABILITY & STATISTICS
11,Fall Semester 2022,10059,MATH,321,001,LEC,INTRODUCTION TO ANALYSIS I
11,Fall Semester 2022,10700,JAPA,141,002,LEC,FIRST YEAR JAPANESE I
11,Fall Semester 2022,11155,COMP,382,002,LL,REASONING ABOUT ALGORITHMS
11,Fall Semester 2022,11950,COMP,215,004,LL,INTRODUCTION TO PROGRAM DESIGN
11,Fall Semester 2022,14605,MATH,354,002,LEC,HONORS LINEAR ALGEBRA
12,Fall Semester 2022,10059,MATH,321,001,LEC,INTRODUCTION TO ANALYSIS I
12,Fall Semester 2022,12668,CAAM,471,001,LEC,LINEAR AND INTEGER PROGRAMMING
12,Fall Semester 2022,13528,COMP,215,001,LL,INTRODUCTION TO PROGRAM DESIGN
12,Fall Semester 2022,13617,CAAM,467,001,LEC,OPT METHODS IN FINANCE
12,Fall Semester 2022,14053,PHIL,160,001,LEC,MORAL PROBLEMS
