CRN,TERM_CODE,SUBJECT,COURSE_NUMBER,SECTION,SUBJECT_DESC,SCHOOL,DEPARTMENT,SECTION_ENROLLMENT,SECTION_MAX_ENROLLMENT,MEETINGS,COURSE_TITLE,CROSS_LIST_ENROLLMENT,CROSS_LIST_MAX_ENROLLMENT,CROSS_LIST_GROUP,INSTRUCTOR,EXAM_TYPE
10715,202410,ANTH,205,001,Anthropology,School of Social Sciences,Anthropology,22,50,09:25AM - 10:40AM TR HRG 129,INTRO TO ARCHAEOLOGY,,,,"Fleisher, Jeffrey B.",Scheduled Final Exam-OTR Room
16183,202410,ASIA,322,001,Asian Studies,School of Humanities,Asian Studies,7,30,04:00PM - 05:15PM MW HUM 118,INTRODUCTION TO BUDDHISM,16,30,H4,"Collins, Nicholas E.",Scheduled Final Exam-OTR Room
10209,202410,ASTR,470,001,Astronomy,School of Natural Sciences,Physics and Astronomy,1,50,02:30PM - 03:45PM TR HBH 423,SOLAR SYSTEM PHYSICS,9,50,6J,"Alexander, David",Scheduled Final Exam-OTR Room
10282,202410,ASTR,451,001,Astronomy,School of Natural Sciences,Physics and Astronomy,3,25,11:00AM - 11:50AM MWF HBH 453,ASTROPHYSICS I: SUN AND STARS,,,,"Johns-Krull, Christopher M.",Scheduled Final Exam-OTR Room
12306,202410,ASTR,101,001,Astronomy,School of Natural Sciences,Physics and Astronomy,41,100,09:25AM - 10:40AM TR HBH 227,"STARS, GALAXIES & THE UNIVERSE",,,,"Reiter, Megan",Scheduled Final Exam-OTR Room
12740,202410,ASTR,350,002,Astronomy,School of Natural Sciences,Physics and Astronomy,10,10,10:50AM - 12:05PM TR HBH 453,INTRO ASTROPHYSICS-STARS,,,,"Isella, Andrea",Scheduled Final Exam-OTR Room
14056,202410,ASTR,102,001,Astronomy,School of Natural Sciences,Physics and Astronomy,20,99,02:30PM - 03:45PM TR HBH B21,EXPLORATN OF THE SOLAR SYSTEM,,,,"Levy, Eugene H.",Scheduled Final Exam-OTR Room
10084,202410,BIOE,252,001,Bioengineering,School of Engineering,Bioengineering,39,60,10:00AM - 10:50AM MWF OES 130,BIOENGINEERING FUNDAMENTALS,,,,"Ramos, Renata F.",Scheduled Final Exam-OTR Room
10087,202410,BIOE,451,001,Bioengineering,School of Engineering,Bioengineering,41,0,08:30AM - 09:50AM MWF OES 130,BIOENGINEERING DESIGN I,52,0,ZG,"Abidi, Sabia Z.; Bond, Meaghan M.; Foss, Jacqueline I.",Scheduled Final Exam-OTR Room
10651,202410,BIOE,440,001,Bioengineering,School of Engineering,Bioengineering,40,49,09:25AM - 10:40AM TR KCK 102,STATISTICS FOR BIOENGINEERING,40,49,H2,"Ghosn, Bilal",Scheduled Final Exam-OTR Room
12153,202410,BIOE,422,001,Bioengineering,School of Engineering,Bioengineering,2,15,02:00PM - 03:15PM MW BRC 284,GENE THERAPY,13,25,1Q,"Szablowski, Jerzy",Scheduled Final Exam-OTR Room
11961,202410,BIOE,420,001,Bioengineering,School of Engineering,Bioengineering,16,62,11:00AM - 12:15PM MWF BRC 282,TRANSPORT PHENOMENA IN BIOE,16,62,C6,"Long, James",Scheduled Final Exam-OTR Room
12551,202410,BIOE,341,001,Bioengineering,School of Engineering,Bioengineering,26,50,10:50AM - 12:05PM TR BRC 284,CELL & MOL BIOL FOR ENGINEERS,31,66,0F,"Segatori, Laura",Scheduled Final Exam-OTR Room
15403,202410,BIOE,446,001,Bioengineering,School of Engineering,Bioengineering,13,0,01:00PM - 04:00PM F BRC 230,COMPUTATIONAL MODELING LAB,,,,"Igoshin, Oleg",Scheduled Final Exam-OTR Room
14623,202410,BIOE,383,002,Bioengineering,School of Engineering,Bioengineering,44,49,09:25AM - 10:40AM TR BRC 282,BIOMED ENGINR INSTRUMENTATION,,,,"Tkaczyk, Tomasz",Scheduled Final Exam-OTR Room
12316,202410,BIOS,201,S01,Biosciences,School of Natural Sciences,Biosciences,137,265,09:00AM - 09:50AM MWF KCK 100,INTRODUCTORY BIOLOGY I,,,,"Gustin, Michael",Scheduled Final Exam-OTR Room
12342,202410,BIOS,301,S01,Biosciences,School of Natural Sciences,Biosciences,120,250,11:00AM - 11:50AM MWF KCK 100,BIOCHEMISTRY I,,,,"Kirienko, Natalia V.; Carson, Daniel D.; McNew, James A.; Shamoo, Yousif",Scheduled Final Exam-OTR Room
12389,202410,BIOS,312,001,Biosciences,School of Natural Sciences,Biosciences,5,0,11:00AM - 11:50AM W GRB W212,ADV COMMUNICATION IN BIOL SCI,,,,"Purugganan, Mary",Scheduled Final Exam-OTR Room
12395,202410,BIOS,341,S01,Biosciences,School of Natural Sciences,Biosciences,241,240,09:25AM - 10:40AM TR KCK 100,CELL BIOLOGY,,,,"Braam, Janet",Scheduled Final Exam-OTR Room
12397,202410,BIOS,352,001,Biosciences,School of Natural Sciences,Biosciences,27,70,09:00AM - 09:50AM MWF KCK 102,PHYS CHEM FOR BIOSCIENCES,,,,"Silberg, Jonathan J.; Nikonowicz, Edward P.",Scheduled Final Exam-OTR Room
12546,202410,BIOS,300,001,Biosciences,School of Natural Sciences,Biosciences,71,75,09:25AM - 10:40AM TR OES 132,PARADIGMS IN BIOCHM & CELL BIO,,,,"Catanese, Daniel J.",Scheduled Final Exam-OTR Room
12549,202410,BIOS,372,001,Biosciences,School of Natural Sciences,Biosciences,80,115,10:00AM - 10:50AM MWF ABL 131,IMMUNOLOGY,84,120,4W,"Johnson, Cassidy B.",Scheduled Final Exam-OTR Room
12763,202410,BIOS,312,002,Biosciences,School of Natural Sciences,Biosciences,7,0,03:00PM - 03:50PM M GRB W212,ADV COMMUNICATION IN BIOL SCI,,,,"Purugganan, Mary",Scheduled Final Exam-OTR Room
13496,202410,BIOS,385,002,Biosciences,School of Natural Sciences,Biosciences,66,120,09:25AM - 10:40AM TR ABL 131,CELL & MOL MECH OF THE NEURON,66,120,6A,"Ross, Cana",Scheduled Final Exam-OTR Room
13510,202410,BIOS,329,001,Biosciences,School of Natural Sciences,Biosciences,38,40,10:00AM - 10:50AM MWF ABL 130,ANIMAL DIVERSITY,39,50,5C,"Evans, Kory M.",Scheduled Final Exam-OTR Room
13697,202410,BIOS,122,002,Biosciences,School of Natural Sciences,Biosciences,40,42,10:50AM - 12:05PM TR RZR 119,BIOLOGY FOR VOTERS,,,,"Johnson, Cassidy B.",Scheduled Final Exam-OTR Room
15656,202410,BIOS,353,001,Biosciences,School of Natural Sciences,Biosciences,17,40,09:25AM - 10:40AM TR RZR 113,MOL BASIS: INFECTIOUS DISEASE,26,50,2P,"Shamoo, Yousif",Scheduled Final Exam-OTR Room
15657,202410,BIOS,441,001,Biosciences,School of Natural Sciences,Biosciences,2,10,01:00PM - 02:15PM TR BRC 285,MOLECULAR MEMBRANE BIOLOGY,4,20,12,"McNew, James A.",Scheduled Final Exam-OTR Room
16107,202410,BIOS,344,S02,Biosciences,School of Natural Sciences,Biosciences,25,120,10:50AM - 12:05PM TR ABL 131,MOLECULAR BIOLOGY & GENETICS,,,,"Stewart, Charles R.",Scheduled Final Exam-OTR Room
10200,202410,CHEM,430,001,Chemistry,School of Natural Sciences,Chemistry,2,30,11:00AM - 12:10PM WF ABL 303,QUANTUM CHEMISTRY,14,30,5M,"Scuseria, Gustavo E.; Shee, James",Scheduled Final Exam-OTR Room
10253,202410,CHEM,211,S01,Chemistry,School of Natural Sciences,Chemistry,208,250,10:50AM - 12:05PM TR KCK 100,ORGANIC CHEMISTRY I,,,,"Hartgerink, Jeffrey D.",Scheduled Final Exam-OTR Room
12157,202410,CHEM,201,001,Chemistry,School of Natural Sciences,Chemistry,4,22,10:00AM - 10:50AM MWF DBH 210,ADV TOPICS IN GEN CHEMISTRY,,,,"Jones, Matthew R.",Scheduled Final Exam-OTR Room
12574,202410,CHEM,401,001,Chemistry,School of Natural Sciences,Chemistry,7,25,09:25AM - 10:40AM TR BRC 286,ADVANCED ORGANIC CHEMISTRY,20,45,5E,"West, Julian G.",Scheduled Final Exam-OTR Room
13217,202410,CHEM,121,S01,Chemistry,School of Natural Sciences,Chemistry,140,0,09:00AM - 09:50AM MWF BRK 101,GENERAL CHEMISTRY I,,,,"Hutchinson, John S.",Scheduled Final Exam-OTR Room
13218,202410,CHEM,121,S02,Chemistry,School of Natural Sciences,Chemistry,88,150,10:00AM - 10:50AM MWF BRK 101,GENERAL CHEMISTRY I,,,,"Kincaid, Kristi",Scheduled Final Exam-OTR Room
13219,202410,CHEM,121,S03,Chemistry,School of Natural Sciences,Chemistry,93,150,01:00PM - 01:50PM MWF BRK 101,GENERAL CHEMISTRY I,,,,"Kincaid, Kristi",Scheduled Final Exam-OTR Room
14380,202410,CHEM,452,001,Chemistry,School of Natural Sciences,Chemistry,15,20,07:00PM - 08:15PM MW BRC 286,CHEMICAL BIOLOGY,28,40,6B,"Xiao, Han",Scheduled Final Exam-OTR Room
15661,202410,CHEM,462,001,Chemistry,School of Natural Sciences,Chemistry,3,30,08:00AM - 09:15AM TR BRC 285,ENZYME MECHANISMS,8,50,2X,"Renata, Hans",Scheduled Final Exam-OTR Room
14735,202410,CHEM,496,001,Chemistry,School of Natural Sciences,Chemistry,11,30,07:00PM - 08:15PM TR DBH 110,ADVANCED INORGANIC CHEMISTRY,24,30,5F,"Yruegas, Samantha",Scheduled Final Exam-OTR Room
16127,202410,CHEM,219,001,Chemistry,School of Natural Sciences,Chemistry,13,30,"10:50AM - 12:05PM TR DBH 110, 04:00PM - 05:05PM F BRC 285",ORGANIC CHEMISTRY I HONORS,,,,"Kurti, Laszlo",Scheduled Final Exam-OTR Room
16128,202410,CHEM,313,S01,Chemistry,School of Natural Sciences,Chemistry,133,150,10:50AM - 12:05PM TR HRZ AMP,ORGANIC CHEMISTRY II,,,,"Yearty, Kasey L.",Scheduled Final Exam-OTR Room
10053,202410,COMP,450,001,Computer Science,School of Engineering,Computer Science,20,50,01:00PM - 02:15PM TR DCH 1064,ALGORITHMIC ROBOTICS,44,50,08,"Kavraki, Lydia E.; Elimelech, Khen",Scheduled Final Exam-OTR Room
10205,202410,COMP,326,001,Computer Science,School of Engineering,Computer Science,3,73,10:50AM - 12:05PM TR DCH 1070,DIGITAL LOGIC DESIGN,52,73,I8,"Varman, Peter J.",Scheduled Final Exam-OTR Room
10668,202410,COMP,311,001,Computer Science,School of Engineering,Computer Science,15,35,09:25AM - 10:40AM TR DCH 1064,FUNCTIONAL PROGRAMMING,18,60,9D,"Cartwright, Robert S.",Scheduled Final Exam-OTR Room
11504,202410,COMP,490,003,Computer Science,School of Engineering,Computer Science,6,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Cox, Alan L.",Scheduled Final Exam-OTR Room
11538,202410,COMP,390,006,Computer Science,School of Engineering,Computer Science,0,0, -   TBA TBA,COMPUTER SCIENCE PROJECTS,,,,"Vardi, Moshe Y.",Scheduled Final Exam-OTR Room
11922,202410,COMP,301,001,Computer Science,School of Engineering,Computer Science,58,60,04:00PM - 05:15PM TR OES 132,COMPUTER ETHICS,76,80,4I,"Ferreira Flores, Rodrigo",Scheduled Final Exam-OTR Room
11951,202410,COMP,417,001,Computer Science,School of Engineering,Computer Science,5,30,10:50AM - 12:05PM TR DCH 1046,ADVANCED OPERATING SYSTEMS,14,60,1T,"Dautenhahn, Nathan D.",Scheduled Final Exam-OTR Room
14624,202410,COMP,310,001,Computer Science,School of Engineering,Computer Science,13,60,"01:00PM - 01:50PM MWF DCH 1064, 01:00PM - 02:15PM T DCH Sym II Lab",ADV OBJECT-ORIENTED PROG,15,120,XL,"Wong, Stephen B.",Scheduled Final Exam-OTR Room
14625,202410,COMP,310,002,Computer Science,School of Engineering,Computer Science,2,60,"01:00PM - 01:50PM MWF DCH 1064, 04:00PM - 05:15PM T RYN 102",ADV OBJECT-ORIENTED PROG,15,120,XL,"Wong, Stephen B.",Scheduled Final Exam-OTR Room
14634,202410,COMP,442,001,Computer Science,School of Engineering,Computer Science,20,50,04:00PM - 05:15PM TR HRZ 212,REINFORCEMENT LEARNING,49,50,4U,"Unhelkar, Vaibhav Vasant",Scheduled Final Exam-OTR Room
14254,202410,COMP,480,001,Computer Science,School of Engineering,Computer Science,25,50,02:30PM - 03:45PM TR KCK 100,PROBABILISTIC ALGORITHMS AND D,67,100,1X,"Shrivastava, Anshumali",Scheduled Final Exam-OTR Room
15520,202410,COMP,182,003,Computer Science,School of Engineering,Computer Science,60,80,10:50AM - 12:05PM TR DCH 1064,ALGORITHMIC THINKING,,,,"Kyrillidis, Anastasios",Scheduled Final Exam-OTR Room
16282,202410,COMP,413,002,Computer Science,School of Engineering,Computer Science,31,40,01:00PM - 02:15PM TR DCH 1046,DISTRIB PROGRAM CONSTRUCTION,,,,"Stolboushkin, Alexei",Scheduled Final Exam-OTR Room
15825,202410,COMP,431,001,Computer Science,School of Engineering,Computer Science,28,30,09:25AM - 10:40AM TR DCH 1055,WEB DEVELOPMENT,83,105,6O,"Joyner, Mackale R.",Scheduled Final Exam-OTR Room
15551,202410,COMP,429,001,Computer Science,School of Engineering,Computer Science,29,120,09:25AM - 10:40AM TR HRZ 212,INTRO TO COMPUTER NETWORKS,44,120,24,"Ng, Tze Sing E.",Scheduled Final Exam-OTR Room
15654,202410,COMP,462,001,Computer Science,School of Engineering,Computer Science,4,50,04:00PM - 05:15PM MW DCH 1042,ROBOTIC MANIPULATION,11,50,6T,"Hang, Kaiyu",Scheduled Final Exam-OTR Room
15798,202410,COMP,416,002,Computer Science,School of Engineering,Computer Science,25,40,02:30PM - 03:45PM TR DCH Sym II Lab,GENOME-SCALE ALGORITHMS,38,40,4S,"Treangen, Todd J.",Scheduled Final Exam-OTR Room
10301,202410,ECON,307,001,Economics,School of Social Sciences,Economics,10,10,01:00PM - 02:15PM TR KCK 100,PROBABILITY & STATISTICS,124,125,H1,"McGuffey, Elizabeth J.",Scheduled Final Exam-OTR Room
10210,202410,ECON,437,001,Economics,School of Social Sciences,Economics,28,50,10:00AM - 10:50AM MWF KRF 110,ENERGY ECONOMICS,46,75,03,"Medlock, Kenneth B.",Scheduled Final Exam-OTR Room
10634,202410,ECON,203,001,Economics,School of Social Sciences,Economics,27,75,09:25AM - 10:40AM TR KRF 125,MACROECONOMICS,,,,"Carlton, Amelie B.",Scheduled Final Exam-OTR Room
10635,202410,ECON,308,001,Economics,School of Social Sciences,Economics,11,75,"11:00AM - 12:15PM MW KRF 105, 11:00AM - 11:50AM F KRF 105",MATHEMATICAL ECONOMICS,,,,"Bejan, Maria M.",Scheduled Final Exam-OTR Room
10729,202410,ECON,210,001,Economics,School of Social Sciences,Economics,42,49,02:00PM - 03:15PM MW KRF 125,BEHAVIORAL ECONOMICS,,,,"Biavati, Michele",Scheduled Final Exam-OTR Room
10992,202410,ECON,300,001,Economics,School of Social Sciences,Economics,20,49,10:00AM - 10:50AM MWF BKH 102,"GAME THEORY, MICRO TOPICS/ECON",,,,"Biavati, Michele",Scheduled Final Exam-OTR Room
10996,202410,ECON,305,001,Economics,School of Social Sciences,Economics,7,49,10:00AM - 10:50AM MWF KRF 105,"GAME THEORY, MICRO TOPICS/MTEC",,,,"Boylan, Richard T.",Scheduled Final Exam-OTR Room
11533,202410,ECON,200,001,Economics,School of Social Sciences,Economics,36,0,"10:50AM - 12:05PM TR HRZ 212, 12:15PM - 01:45PM W HRZ 212",MICROECONOMICS,52,0,ZJ,"Brown, James N.",Scheduled Final Exam-OTR Room
12251,202410,ECON,483,001,Economics,School of Social Sciences,Economics,24,35,04:00PM - 05:15PM MW KRF 125,PUBLIC ECONOMICS: TAXATION,,,,"Zodrow, George R.",Scheduled Final Exam-OTR Room
12881,202410,ECON,200,002,Economics,School of Social Sciences,Economics,16,0,"12:15PM - 01:45PM W HRZ 212, 01:00PM - 02:15PM TR HRZ 212",MICROECONOMICS,52,0,ZJ,"Brown, James N.",Scheduled Final Exam-OTR Room
12882,202410,ECON,203,002,Economics,School of Social Sciences,Economics,25,75,02:30PM - 03:45PM TR BKH 102,MACROECONOMICS,,,,"Carlton, Amelie B.",Scheduled Final Exam-OTR Room
12885,202410,ECON,497,001,Economics,School of Social Sciences,Economics,2,30,10:50AM - 12:05PM TR KRF 102,RESEARCH IN ECONOMETRICS,,,,"Tang, Xun",Scheduled Final Exam-OTR Room
13299,202410,ECON,209,001,Economics,School of Social Sciences,Economics,5,20,"01:00PM - 02:15PM TR KRF 102, 07:00PM - 08:15PM T SEW 207",APPLIED ECONOMETRICS,,,,"Brown, Bryan W.",Scheduled Final Exam-OTR Room
13300,202410,ECON,209,002,Economics,School of Social Sciences,Economics,10,20,"10:00AM - 10:50AM MWF KRF 125, 06:00PM - 06:50PM M RYN 102",APPLIED ECONOMETRICS,26,80,ZC,"Kong, Yunmi",Scheduled Final Exam-OTR Room
13301,202410,ECON,209,004,Economics,School of Social Sciences,Economics,8,20,"10:00AM - 10:50AM MWF KRF 125, 07:00PM - 07:50PM M RYN 102",APPLIED ECONOMETRICS,26,80,ZC,"Kong, Yunmi",Scheduled Final Exam-OTR Room
13302,202410,ECON,209,003,Economics,School of Social Sciences,Economics,1,20,"10:00AM - 10:50AM MWF KRF 125, 06:00PM - 06:50PM W RYN 102",APPLIED ECONOMETRICS,26,80,ZC,"Kong, Yunmi",Scheduled Final Exam-OTR Room
